home,score,away,home_scores,away_scores,year
浦和,1-1,甲府,1,1,2013
川崎Ｆ,0-1,鳥栖,0,1,2013
横浜FM,1-0,清水,1,0,2013
名古屋,0-2,Ｆ東京,0,2,2013
大分,1-2,湘南,1,2,2013
Ｃ大阪,1-1,柏,1,1,2013
仙台,0-0,横浜FM,0,0,2013
柏,1-1,新潟,1,1,2013
清水,2-1,甲府,2,1,2013
鳥栖,0-2,広島,0,2,2013
鹿島,3-1,大分,3,1,2013
湘南,2-2,浦和,2,2,2013
Ｃ大阪,2-0,磐田,2,0,2013
大宮,2-5,Ｆ東京,2,5,2013
名古屋,1-2,川崎Ｆ,1,2,2013
磐田,1-1,仙台,1,1,2013
新潟,3-1,鳥栖,3,1,2013
湘南,1-1,名古屋,1,1,2013
広島,3-1,清水,3,1,2013
大分,0-2,Ｃ大阪,0,2,2013
浦和,4-0,大宮,4,0,2013
Ｆ東京,1-4,鹿島,1,4,2013
甲府,0-0,横浜FM,0,0,2013
川崎Ｆ,3-1,柏,3,1,2013
仙台,2-1,名古屋,2,1,2013
川崎Ｆ,2-1,磐田,2,1,2013
鹿島,1-2,浦和,1,2,2013
柏,2-0,甲府,2,0,2013
横浜FM,1-0,広島,1,0,2013
清水,6-4,鳥栖,6,4,2013
大宮,0-1,大分,0,1,2013
Ｆ東京,2-0,新潟,2,0,2013
Ｃ大阪,2-1,湘南,2,1,2013
広島,1-0,仙台,1,0,2013
新潟,3-2,湘南,3,2,2013
甲府,1-1,Ｆ東京,1,1,2013
鹿島,4-1,川崎Ｆ,4,1,2013
磐田,0-1,清水,0,1,2013
名古屋,2-1,大宮,2,1,2013
浦和,2-1,柏,2,1,2013
大分,0-1,横浜FM,0,1,2013
鳥栖,2-0,Ｃ大阪,2,0,2013
柏,1-1,広島,1,1,2013
横浜FM,1-2,名古屋,1,2,2013
湘南,1-2,鹿島,1,2,2013
Ｆ東京,1-2,Ｃ大阪,1,2,2013
鳥栖,1-0,磐田,1,0,2013
大分,1-3,新潟,1,3,2013
大宮,1-2,甲府,1,2,2013
川崎Ｆ,2-0,清水,2,0,2013
仙台,3-3,浦和,3,3,2013
鹿島,1-2,鳥栖,1,2,2013
浦和,1-3,川崎Ｆ,1,3,2013
清水,1-0,大宮,1,0,2013
磐田,0-1,横浜FM,0,1,2013
Ｃ大阪,1-0,広島,1,0,2013
Ｆ東京,2-1,湘南,2,1,2013
甲府,0-0,大分,0,0,2013
新潟,1-0,仙台,1,0,2013
名古屋,3-2,柏,3,2,2013
大宮,3-0,磐田,3,0,2013
Ｃ大阪,1-2,鹿島,1,2,2013
鳥栖,4-1,浦和,4,1,2013
横浜FM,0-2,新潟,0,2,2013
広島,1-0,湘南,1,0,2013
柏,4-1,Ｆ東京,4,1,2013
仙台,1-2,清水,1,2,2013
名古屋,0-0,甲府,0,0,2013
大分,0-1,川崎Ｆ,0,1,2013
鹿島,0-2,広島,0,2,2013
Ｆ東京,2-0,仙台,2,0,2013
浦和,2-5,Ｃ大阪,2,5,2013
川崎Ｆ,1-0,横浜FM,1,0,2013
湘南,0-1,大宮,0,1,2013
新潟,2-0,名古屋,2,0,2013
清水,1-2,柏,1,2,2013
磐田,3-1,大分,3,1,2013
甲府,0-0,鳥栖,0,0,2013
Ｃ大阪,0-1,広島,0,1,2014
名古屋,2-3,清水,2,3,2014
鳥栖,5-0,徳島,5,0,2014
甲府,0-4,鹿島,0,4,2014
仙台,1-2,新潟,1,2,2014
柏,1-1,Ｆ東京,1,1,2014
Ｇ大阪,0-1,浦和,0,1,2014
横浜FM,2-0,大宮,2,0,2014
川崎Ｆ,2-2,神戸,2,2,2014
広島,2-1,川崎Ｆ,2,1,2014
新潟,0-2,Ｇ大阪,0,2,2014
徳島,0-2,Ｃ大阪,0,2,2014
Ｆ東京,1-1,甲府,1,1,2014
大宮,1-2,名古屋,1,2,2014
清水,0-1,横浜FM,0,1,2014
神戸,1-1,柏,1,1,2014
浦和,0-1,鳥栖,0,1,2014
鹿島,2-0,仙台,2,0,2014
横浜FM,3-0,徳島,3,0,2014
甲府,1-1,新潟,1,1,2014
広島,0-2,浦和,0,2,2014
川崎Ｆ,3-4,大宮,3,4,2014
柏,0-1,名古屋,0,1,2014
鳥栖,0-3,鹿島,0,3,2014
Ｃ大阪,4-1,清水,4,1,2014
仙台,0-0,Ｇ大阪,0,0,2014
神戸,2-1,Ｆ東京,2,1,2014
新潟,1-0,鳥栖,1,0,2014
甲府,1-0,横浜FM,1,0,2014
徳島,0-2,柏,0,2,2014
大宮,4-0,仙台,4,0,2014
鹿島,0-2,Ｃ大阪,0,2,2014
浦和,1-1,清水,1,1,2014
名古屋,2-1,神戸,2,1,2014
Ｇ大阪,1-1,広島,1,1,2014
Ｆ東京,0-4,川崎Ｆ,0,4,2014
川崎Ｆ,1-0,名古屋,1,0,2014
Ｃ大阪,0-0,新潟,0,0,2014
仙台,1-1,甲府,1,1,2014
広島,3-1,徳島,3,1,2014
横浜FM,1-3,鹿島,1,3,2014
柏,2-2,大宮,2,2,2014
神戸,3-1,浦和,3,1,2014
清水,1-3,Ｆ東京,1,3,2014
鳥栖,2-0,Ｇ大阪,2,0,2014
新潟,0-0,横浜FM,0,0,2014
名古屋,2-5,広島,2,5,2014
徳島,0-4,川崎Ｆ,0,4,2014
柏,2-1,Ｃ大阪,2,1,2014
大宮,0-3,神戸,0,3,2014
甲府,0-1,清水,0,1,2014
Ｇ大阪,0-2,鹿島,0,2,2014
Ｆ東京,2-1,鳥栖,2,1,2014
浦和,4-0,仙台,4,0,2014
川崎Ｆ,1-1,柏,1,1,2014
Ｃ大阪,2-2,Ｇ大阪,2,2,2014
横浜FM,0-2,仙台,0,2,2014
鹿島,1-2,新潟,1,2,2014
清水,2-0,大宮,2,0,2014
神戸,3-0,徳島,3,0,2014
名古屋,1-2,浦和,1,2,2014
鳥栖,2-0,甲府,2,0,2014
広島,1-0,Ｆ東京,1,0,2014
仙台,0-3,鳥栖,0,3,2014
徳島,0-4,清水,0,4,2014
柏,0-0,横浜FM,0,0,2014
鹿島,2-3,神戸,2,3,2014
Ｆ東京,2-0,Ｃ大阪,2,0,2014
Ｇ大阪,2-1,大宮,2,1,2014
浦和,1-0,川崎Ｆ,1,0,2014
甲府,2-0,名古屋,2,0,2014
新潟,0-0,広島,0,0,2014
柏,3-2,浦和,3,2,2014
清水,1-0,仙台,1,0,2014
横浜FM,0-1,Ｆ東京,0,1,2014
徳島,1-2,新潟,1,2,2014
名古屋,2-3,鳥栖,2,3,2014
神戸,2-2,Ｃ大阪,2,2,2014
川崎Ｆ,2-1,Ｇ大阪,2,1,2014
大宮,0-2,甲府,0,2,2014
広島,0-3,鹿島,0,3,2014
甲府,0-1,徳島,0,1,2014
Ｆ東京,0-1,名古屋,0,1,2014
鳥栖,1-2,広島,1,2,2014
新潟,1-1,神戸,1,1,2014
鹿島,2-1,清水,2,1,2014
仙台,0-0,川崎Ｆ,0,0,2014
浦和,1-0,横浜FM,1,0,2014
Ｇ大阪,1-2,柏,1,2,2014
Ｃ大阪,1-1,大宮,1,1,2014
柏,1-0,鹿島,1,0,2014
横浜FM,2-0,Ｇ大阪,2,0,2014
徳島,0-1,仙台,0,1,2014
川崎Ｆ,2-0,甲府,2,0,2014
神戸,0-0,広島,0,0,2014
清水,0-1,鳥栖,0,1,2014
浦和,1-0,Ｆ東京,1,0,2014
大宮,2-2,新潟,2,2,2014
名古屋,1-2,Ｃ大阪,1,2,2014
Ｆ東京,0-1,大宮,0,1,2014
仙台,4-3,神戸,4,3,2014
新潟,2-1,清水,2,1,2014
鹿島,1-2,名古屋,1,2,2014
鳥栖,1-0,柏,1,0,2014
甲府,0-0,浦和,0,0,2014
Ｇ大阪,3-0,徳島,3,0,2014
名古屋,1-2,Ｇ大阪,1,2,2014
徳島,0-0,Ｆ東京,0,0,2014
横浜FM,1-2,鳥栖,1,2,2014
広島,1-1,清水,1,1,2014
川崎Ｆ,4-1,鹿島,4,1,2014
神戸,1-0,甲府,1,0,2014
大宮,0-2,浦和,0,2,2014
Ｃ大阪,0-1,仙台,0,1,2014
柏,1-0,新潟,1,0,2014
甲府,3-0,柏,3,0,2014
清水,1-1,神戸,1,1,2014
浦和,1-0,Ｃ大阪,1,0,2014
新潟,1-1,名古屋,1,1,2014
鳥栖,1-1,大宮,1,1,2014
Ｆ東京,3-0,Ｇ大阪,3,0,2014
鹿島,1-0,徳島,1,0,2014
仙台,1-0,広島,1,0,2014
川崎Ｆ,0-3,横浜FM,0,3,2014
広島,1-2,横浜FM,1,2,2014
Ｃ大阪,1-2,川崎Ｆ,1,2,2014
清水,0-2,川崎Ｆ,0,2,2014
浦和,1-0,新潟,1,0,2014
Ｆ東京,1-1,鹿島,1,1,2014
神戸,0-1,鳥栖,0,1,2014
Ｇ大阪,2-0,甲府,2,0,2014
名古屋,1-1,徳島,1,1,2014
大宮,3-3,広島,3,3,2014
Ｃ大阪,2-2,横浜FM,2,2,2014
柏,0-0,仙台,0,0,2014
新潟,0-1,Ｆ東京,0,1,2014
鹿島,2-2,大宮,2,2,2014
甲府,0-0,Ｃ大阪,0,0,2014
Ｇ大阪,4-0,清水,4,0,2014
仙台,3-3,名古屋,3,3,2014
鳥栖,0-1,川崎Ｆ,0,1,2014
広島,5-2,柏,5,2,2014
徳島,0-2,浦和,0,2,2014
横浜FM,1-1,神戸,1,1,2014
浦和,1-1,鹿島,1,1,2014
清水,3-0,柏,3,0,2014
Ｆ東京,3-0,仙台,3,0,2014
川崎Ｆ,1-0,新潟,1,0,2014
大宮,1-3,徳島,1,3,2014
名古屋,1-1,横浜FM,1,1,2014
Ｃ大阪,0-1,鳥栖,0,1,2014
神戸,1-5,Ｇ大阪,1,5,2014
広島,1-1,甲府,1,1,2014
Ｇ大阪,2-0,横浜FM,2,0,2014
鹿島,5-1,広島,5,1,2014
Ｆ東京,4-0,清水,4,0,2014
徳島,2-2,甲府,2,2,2014
柏,4-1,川崎Ｆ,4,1,2014
新潟,1-0,Ｃ大阪,1,0,2014
仙台,2-2,大宮,2,2,2014
浦和,2-2,神戸,2,2,2014
鳥栖,1-0,名古屋,1,0,2014
清水,1-0,徳島,1,0,2014
甲府,0-0,仙台,0,0,2014
大宮,0-2,Ｇ大阪,0,2,2014
神戸,1-0,新潟,1,0,2014
名古屋,2-3,鹿島,2,3,2014
Ｃ大阪,0-0,Ｆ東京,0,0,2014
川崎Ｆ,2-1,浦和,2,1,2014
横浜FM,2-2,柏,2,2,2014
広島,1-0,鳥栖,1,0,2014
Ｇ大阪,0-1,名古屋,0,1,2014
浦和,1-0,広島,1,0,2014
鹿島,1-0,甲府,1,0,2014
川崎Ｆ,5-4,Ｃ大阪,5,4,2014
鳥栖,0-2,Ｆ東京,0,2,2014
新潟,2-1,大宮,2,1,2014
徳島,0-3,横浜FM,0,3,2014
仙台,3-2,清水,3,2,2014
柏,2-0,神戸,2,0,2014
清水,1-3,鹿島,1,3,2014
甲府,3-3,Ｇ大阪,3,3,2014
Ｆ東京,4-4,浦和,4,4,2014
神戸,2-1,仙台,2,1,2014
大宮,1-3,鳥栖,1,3,2014
横浜FM,2-0,川崎Ｆ,2,0,2014
新潟,1-2,徳島,1,2,2014
広島,0-0,Ｃ大阪,0,0,2014
名古屋,1-1,柏,1,1,2014
浦和,4-0,大宮,4,0,2014
Ｇ大阪,5-0,新潟,5,0,2014
徳島,0-1,広島,0,1,2014
柏,3-0,甲府,3,0,2014
仙台,1-2,横浜FM,1,2,2014
鳥栖,2-2,清水,2,2,2014
鹿島,2-2,Ｆ東京,2,2,2014
名古屋,1-1,川崎Ｆ,1,1,2014
Ｃ大阪,1-2,神戸,1,2,2014
清水,1-4,浦和,1,4,2014
大宮,2-1,鹿島,2,1,2014
甲府,1-0,鳥栖,1,0,2014
Ｆ東京,1-1,神戸,1,1,2014
横浜FM,0-2,名古屋,0,2,2014
広島,0-1,Ｇ大阪,0,1,2014
新潟,1-0,仙台,1,0,2014
Ｃ大阪,2-0,柏,2,0,2014
川崎Ｆ,4-0,徳島,4,0,2014
名古屋,2-0,甲府,2,0,2014
Ｇ大阪,2-0,Ｃ大阪,2,0,2014
神戸,3-1,清水,3,1,2014
鳥栖,2-1,仙台,2,1,2014
徳島,0-2,大宮,0,2,2014
鹿島,1-0,横浜FM,1,0,2014
川崎Ｆ,0-0,Ｆ東京,0,0,2014
広島,2-0,新潟,2,0,2014
浦和,3-1,柏,3,1,2014
清水,0-3,Ｇ大阪,0,3,2014
仙台,0-1,鹿島,0,1,2014
新潟,0-2,浦和,0,2,2014
Ｆ東京,4-0,徳島,4,0,2014
横浜FM,1-0,広島,1,0,2014
大宮,1-3,川崎Ｆ,1,3,2014
甲府,2-0,神戸,2,0,2014
Ｃ大阪,1-2,名古屋,1,2,2014
柏,2-0,鳥栖,2,0,2014
横浜FM,0-0,甲府,0,0,2014
広島,1-1,神戸,1,1,2014
Ｆ東京,4-0,柏,4,0,2014
大宮,2-1,清水,2,1,2014
Ｇ大阪,4-1,鳥栖,4,1,2014
徳島,0-5,鹿島,0,5,2014
Ｃ大阪,1-0,浦和,1,0,2014
川崎Ｆ,1-1,仙台,1,1,2014
名古屋,0-1,新潟,0,1,2014
鹿島,2-3,Ｇ大阪,2,3,2014
清水,3-0,Ｃ大阪,3,0,2014
浦和,2-1,徳島,2,1,2014
神戸,1-3,名古屋,1,3,2014
鳥栖,1-0,横浜FM,1,0,2014
仙台,1-0,Ｆ東京,1,0,2014
柏,0-0,広島,0,0,2014
甲府,0-1,大宮,0,1,2014
新潟,3-0,川崎Ｆ,3,0,2014
徳島,2-2,神戸,2,2,2014
鹿島,2-3,柏,2,3,2014
Ｇ大阪,1-0,川崎Ｆ,1,0,2014
仙台,4-2,浦和,4,2,2014
新潟,0-0,甲府,0,0,2014
横浜FM,1-0,清水,1,0,2014
広島,4-0,名古屋,4,0,2014
大宮,1-0,Ｆ東京,1,0,2014
鳥栖,1-0,Ｃ大阪,1,0,2014
川崎Ｆ,2-0,鳥栖,2,0,2014
柏,1-0,Ｇ大阪,1,0,2014
名古屋,0-0,仙台,0,0,2014
Ｆ東京,2-1,広島,2,1,2014
浦和,0-0,甲府,0,0,2014
Ｃ大阪,3-1,徳島,3,1,2014
大宮,2-3,横浜FM,2,3,2014
清水,2-1,新潟,2,1,2014
神戸,0-0,鹿島,0,0,2014
仙台,1-2,柏,1,2,2014
神戸,2-1,大宮,2,1,2014
鳥栖,0-2,新潟,0,2,2014
清水,1-3,広島,1,3,2014
横浜FM,0-0,Ｃ大阪,0,0,2014
徳島,0-2,名古屋,0,2,2014
Ｇ大阪,2-1,Ｆ東京,2,1,2014
鹿島,1-1,浦和,1,1,2014
甲府,2-1,川崎Ｆ,2,1,2014
Ｇ大阪,1-1,仙台,1,1,2014
名古屋,2-2,Ｆ東京,2,2,2014
Ｃ大阪,1-3,甲府,1,3,2014
柏,2-0,徳島,2,0,2014
川崎Ｆ,2-3,清水,2,3,2014
新潟,1-2,鹿島,1,2,2014
広島,1-1,大宮,1,1,2014
鳥栖,2-1,神戸,2,1,2014
横浜FM,0-1,浦和,0,1,2014
鹿島,2-1,川崎Ｆ,2,1,2014
徳島,0-1,鳥栖,0,1,2014
神戸,1-2,横浜FM,1,2,2014
浦和,0-2,Ｇ大阪,0,2,2014
甲府,2-0,広島,2,0,2014
仙台,3-3,Ｃ大阪,3,3,2014
清水,2-2,名古屋,2,2,2014
Ｆ東京,1-3,新潟,1,3,2014
大宮,1-2,柏,1,2,2014
Ｇ大阪,3-1,神戸,3,1,2014
柏,3-1,清水,3,1,2014
鳥栖,1-1,浦和,1,1,2014
川崎Ｆ,1-1,広島,1,1,2014
Ｃ大阪,1-4,鹿島,1,4,2014
横浜FM,1-0,新潟,1,0,2014
仙台,2-1,徳島,2,1,2014
名古屋,2-1,大宮,2,1,2014
甲府,0-0,Ｆ東京,0,0,2014
鹿島,0-1,鳥栖,0,1,2014
大宮,2-0,Ｃ大阪,2,0,2014
清水,0-0,甲府,0,0,2014
神戸,1-2,川崎Ｆ,1,2,2014
Ｆ東京,1-1,横浜FM,1,1,2014
浦和,1-2,名古屋,1,2,2014
徳島,0-0,Ｇ大阪,0,0,2014
広島,2-0,仙台,2,0,2014
新潟,0-2,柏,0,2,2014
名古屋,3-3,松本,3,3,2015
Ｇ大阪,2-2,FC東京,2,2,2015
広島,2-0,甲府,2,0,2015
鳥栖,2-1,新潟,2,1,2015
仙台,2-0,山形,2,0,2015
横浜FM,1-3,川崎Ｆ,1,3,2015
神戸,0-1,柏,0,1,2015
湘南,1-3,浦和,1,3,2015
清水,3-1,鹿島,3,1,2015
柏,1-1,仙台,1,1,2015
新潟,0-0,清水,0,0,2015
鹿島,1-2,湘南,1,2,2015
甲府,1-0,名古屋,1,0,2015
FC東京,0-0,横浜FM,0,0,2015
浦和,1-0,山形,1,0,2015
川崎Ｆ,2-2,神戸,2,2,2015
鳥栖,1-0,Ｇ大阪,1,0,2015
松本,1-2,広島,1,2,2015
新潟,3-2,柏,3,2,2015
甲府,0-2,Ｇ大阪,0,2,2015
広島,0-0,浦和,0,0,2015
清水,0-1,松本,0,1,2015
横浜FM,1-0,鳥栖,1,0,2015
湘南,0-0,仙台,0,0,2015
神戸,0-2,FC東京,0,2,2015
名古屋,1-1,鹿島,1,1,2015
山形,1-0,川崎Ｆ,1,0,2015
鹿島,3-1,鳥栖,3,1,2015
Ｇ大阪,3-1,名古屋,3,1,2015
仙台,2-1,清水,2,1,2015
山形,1-2,湘南,1,2,2015
川崎Ｆ,4-1,新潟,4,1,2015
浦和,1-0,松本,1,0,2015
FC東京,1-0,甲府,1,0,2015
広島,0-1,神戸,0,1,2015
柏,1-2,横浜FM,1,2,2015
松本,1-3,柏,1,3,2015
横浜FM,1-1,仙台,1,1,2015
名古屋,2-0,広島,2,0,2015
清水,2-3,Ｇ大阪,2,3,2015
神戸,4-1,甲府,4,1,2015
湘南,0-1,FC東京,0,1,2015
鳥栖,1-0,山形,1,0,2015
川崎Ｆ,1-1,浦和,1,1,2015
鹿島,1-1,新潟,1,1,2015
柏,1-3,鹿島,1,3,2015
新潟,2-2,神戸,2,2,2015
仙台,2-3,川崎Ｆ,2,3,2015
甲府,0-3,鳥栖,0,3,2015
山形,0-0,松本,0,0,2015
FC東京,1-2,広島,1,2,2015
浦和,2-1,横浜FM,2,1,2015
湘南,0-2,Ｇ大阪,0,2,2015
名古屋,3-1,清水,3,1,2015
松本,1-0,仙台,1,0,2015
広島,2-0,清水,2,0,2015
鹿島,1-2,神戸,1,2,2015
横浜FM,3-0,湘南,3,0,2015
鳥栖,1-1,柏,1,1,2015
浦和,2-1,名古屋,2,1,2015
山形,0-1,FC東京,0,1,2015
川崎Ｆ,3-0,甲府,3,0,2015
Ｇ大阪,2-1,新潟,2,1,2015
仙台,1-2,鹿島,1,2,2015
新潟,0-1,FC東京,0,1,2015
川崎Ｆ,1-4,柏,1,4,2015
清水,3-3,山形,3,3,2015
Ｇ大阪,1-0,松本,1,0,2015
湘南,4-2,鳥栖,4,2,2015
神戸,0-1,名古屋,0,1,2015
横浜FM,1-2,広島,1,2,2015
甲府,0-2,浦和,0,2,2015
名古屋,3-0,湘南,3,0,2015
浦和,1-0,Ｇ大阪,1,0,2015
山形,1-0,横浜FM,1,0,2015
鹿島,0-1,甲府,0,1,2015
FC東京,2-1,川崎Ｆ,2,1,2015
広島,2-0,仙台,2,0,2015
柏,0-0,清水,0,0,2015
松本,1-2,新潟,1,2,2015
鳥栖,1-1,神戸,1,1,2015
松本,2-0,甲府,2,0,2015
新潟,1-1,山形,1,1,2015
清水,2-2,鳥栖,2,2,2015
横浜FM,2-0,名古屋,2,0,2015
川崎Ｆ,0-1,広島,0,1,2015
湘南,1-1,神戸,1,1,2015
仙台,2-3,FC東京,2,3,2015
名古屋,0-1,川崎Ｆ,0,1,2015
横浜FM,1-0,新潟,1,0,2015
甲府,0-1,湘南,0,1,2015
山形,3-0,柏,3,0,2015
仙台,4-4,浦和,4,4,2015
鳥栖,1-1,松本,1,1,2015
FC東京,0-1,鹿島,0,1,2015
神戸,1-2,清水,1,2,2015
広島,0-1,Ｇ大阪,0,1,2015
柏,0-0,湘南,0,0,2015
新潟,0-3,仙台,0,3,2015
松本,2-0,神戸,2,0,2015
甲府,2-0,山形,2,0,2015
鹿島,2-2,広島,2,2,2015
清水,1-2,横浜FM,1,2,2015
浦和,4-1,FC東京,4,1,2015
Ｇ大阪,1-1,川崎Ｆ,1,1,2015
名古屋,0-1,鳥栖,0,1,2015
山形,0-1,神戸,0,1,2015
湘南,4-0,清水,4,0,2015
仙台,0-1,甲府,0,1,2015
FC東京,0-1,名古屋,0,1,2015
松本,0-3,横浜FM,0,3,2015
広島,4-2,新潟,4,2,2015
川崎Ｆ,3-2,鳥栖,3,2,2015
浦和,2-1,鹿島,2,1,2015
新潟,0-2,甲府,0,2,2015
名古屋,0-0,山形,0,0,2015
神戸,0-1,仙台,0,1,2015
鹿島,3-1,松本,3,1,2015
鳥栖,1-6,浦和,1,6,2015
清水,5-2,川崎Ｆ,5,2,2015
横浜FM,1-1,Ｇ大阪,1,1,2015
FC東京,2-1,柏,2,1,2015
湘南,0-0,広島,0,0,2015
柏,3-3,浦和,3,3,2015
Ｇ大阪,2-0,鹿島,2,0,2015
新潟,1-1,名古屋,1,1,2015
Ｇ大阪,0-0,神戸,0,0,2015
柏,2-3,広島,2,3,2015
川崎Ｆ,2-1,湘南,2,1,2015
仙台,5-0,鳥栖,5,0,2015
松本,1-2,FC東京,1,2,2015
浦和,1-0,清水,1,0,2015
甲府,1-1,横浜FM,1,1,2015
山形,2-2,鹿島,2,2,2015
横浜FM,0-3,鹿島,0,3,2015
川崎Ｆ,2-0,松本,2,0,2015
Ｇ大阪,1-1,仙台,1,1,2015
鳥栖,1-2,FC東京,1,2,2015
広島,5-1,山形,5,1,2015
湘南,1-3,新潟,1,3,2015
清水,0-2,甲府,0,2,2015
名古屋,1-0,柏,1,0,2015
神戸,1-1,浦和,1,1,2015
柏,1-0,Ｇ大阪,1,0,2015
鹿島,2-3,川崎Ｆ,2,3,2015
甲府,1-1,柏,1,1,2015
松本,2-3,湘南,2,3,2015
浦和,5-2,新潟,5,2,2015
仙台,2-0,名古屋,2,0,2015
山形,1-3,Ｇ大阪,1,3,2015
FC東京,3-2,清水,3,2,2015
神戸,1-1,横浜FM,1,1,2015
鳥栖,2-2,広島,2,2,2015
湘南,2-1,名古屋,2,1,2015
仙台,3-4,広島,3,4,2015
川崎Ｆ,2-0,FC東京,2,0,2015
新潟,2-3,鹿島,2,3,2015
横浜FM,1-1,山形,1,1,2015
柏,2-3,鳥栖,2,3,2015
清水,0-5,神戸,0,5,2015
松本,1-2,浦和,1,2,2015
Ｇ大阪,2-1,甲府,2,1,2015
鳥栖,1-1,川崎Ｆ,1,1,2015
甲府,0-0,仙台,0,0,2015
FC東京,3-1,新潟,3,1,2015
横浜FM,0-1,柏,0,1,2015
名古屋,3-2,Ｇ大阪,3,2,2015
鹿島,0-0,清水,0,0,2015
神戸,1-1,湘南,1,1,2015
広島,6-0,松本,6,0,2015
山形,0-0,浦和,0,0,2015
松本,2-0,鹿島,2,0,2015
清水,2-2,名古屋,2,2,2015
新潟,1-0,鳥栖,1,0,2015
FC東京,0-0,山形,0,0,2015
Ｇ大阪,2-2,横浜FM,2,2,2015
仙台,1-2,神戸,1,2,2015
湘南,0-2,甲府,0,2,2015
柏,1-0,川崎Ｆ,1,0,2015
浦和,1-2,広島,1,2,2015
Ｇ大阪,1-1,鳥栖,1,1,2015
甲府,0-1,松本,0,1,2015
鹿島,2-1,FC東京,2,1,2015
川崎Ｆ,3-2,清水,3,2,2015
名古屋,2-1,浦和,2,1,2015
鳥栖,1-1,湘南,1,1,2015
神戸,1-2,Ｇ大阪,1,2,2015
仙台,0-1,柏,0,1,2015
広島,2-0,横浜FM,2,0,2015
山形,1-3,新潟,1,3,2015
新潟,2-2,Ｇ大阪,2,2,2015
FC東京,3-1,仙台,3,1,2015
松本,1-3,川崎Ｆ,1,3,2015
鳥栖,0-3,鹿島,0,3,2015
湘南,3-0,柏,3,0,2015
浦和,1-1,甲府,1,1,2015
山形,0-3,名古屋,0,3,2015
神戸,0-4,広島,0,4,2015
横浜FM,1-2,清水,1,2,2015
新潟,1-2,浦和,1,2,2015
川崎Ｆ,0-0,山形,0,0,2015
甲府,0-1,FC東京,0,1,2015
清水,1-2,湘南,1,2,2015
名古屋,0-3,横浜FM,0,3,2015
仙台,3-1,松本,3,1,2015
柏,2-0,神戸,2,0,2015
広島,0-1,鹿島,0,1,2015
横浜FM,2-0,甲府,2,0,2015
松本,0-1,名古屋,0,1,2015
神戸,2-0,川崎Ｆ,2,0,2015
FC東京,2-1,Ｇ大阪,2,1,2015
浦和,1-0,湘南,1,0,2015
山形,1-3,鳥栖,1,3,2015
清水,1-1,新潟,1,1,2015
鹿島,3-2,仙台,3,2,2015
広島,0-3,柏,0,3,2015
柏,2-0,松本,2,0,2015
甲府,1-0,神戸,1,0,2015
鹿島,3-0,山形,3,0,2015
浦和,3-1,仙台,3,1,2015
Ｇ大阪,1-0,清水,1,0,2015
新潟,0-2,広島,0,2,2015
名古屋,0-0,FC東京,0,0,2015
鳥栖,1-2,横浜FM,1,2,2015
湘南,2-1,川崎Ｆ,2,1,2015
清水,1-1,FC東京,1,1,2015
横浜FM,4-0,浦和,4,0,2015
川崎Ｆ,1-3,鹿島,1,3,2015
神戸,7-1,鳥栖,7,1,2015
広島,5-2,名古屋,5,2,2015
仙台,0-1,新潟,0,1,2015
柏,2-2,甲府,2,2,2015
Ｇ大阪,1-0,湘南,1,0,2015
浦和,1-0,柏,1,0,2015
名古屋,0-1,仙台,0,1,2015
甲府,1-3,川崎Ｆ,1,3,2015
鹿島,1-2,Ｇ大阪,1,2,2015
鳥栖,0-0,清水,0,0,2015
新潟,1-1,横浜FM,1,1,2015
FC東京,3-0,神戸,3,0,2015
山形,1-3,広島,1,3,2015
湘南,1-1,松本,1,1,2015
甲府,0-1,鹿島,0,1,2015
仙台,1-1,湘南,1,1,2015
清水,1-4,浦和,1,4,2015
神戸,1-2,新潟,1,2,2015
川崎Ｆ,6-1,名古屋,6,1,2015
広島,0-0,鳥栖,0,0,2015
横浜FM,1-0,FC東京,1,0,2015
松本,1-1,Ｇ大阪,1,1,2015
柏,0-0,山形,0,0,2015
松本,2-2,山形,2,2,2015
山形,1-1,仙台,1,1,2015
湘南,1-1,横浜FM,1,1,2015
鳥栖,0-1,甲府,0,1,2015
鹿島,1-2,浦和,1,2,2015
清水,1-5,広島,1,5,2015
Ｇ大阪,3-1,柏,3,1,2015
FC東京,1-0,松本,1,0,2015
新潟,1-2,川崎Ｆ,1,2,2015
名古屋,2-0,神戸,2,0,2015
仙台,1-3,横浜FM,1,3,2015
神戸,0-2,鹿島,0,2,2015
松本,1-0,清水,1,0,2015
湘南,0-1,山形,0,1,2015
浦和,1-1,鳥栖,1,1,2015
甲府,0-0,新潟,0,0,2015
柏,3-1,名古屋,3,1,2015
広島,0-1,FC東京,0,1,2015
川崎Ｆ,5-3,Ｇ大阪,5,3,2015
Ｇ大阪,2-1,浦和,2,1,2015
清水,0-1,仙台,0,1,2015
FC東京,1-2,湘南,1,2,2015
鹿島,3-2,柏,3,2,2015
横浜FM,2-1,神戸,2,1,2015
広島,2-1,川崎Ｆ,2,1,2015
新潟,2-0,松本,2,0,2015
鳥栖,0-0,名古屋,0,0,2015
山形,0-1,甲府,0,1,2015
FC東京,3-4,浦和,3,4,2015
松本,1-2,鳥栖,1,2,2015
湘南,2-1,鹿島,2,1,2015
川崎Ｆ,0-1,横浜FM,0,1,2015
名古屋,4-2,新潟,4,2,2015
